label,first,most_expensive,cheapest,discovery_time,total_time,pruned_prior,num_prior_plans,total_prior_attempts,total_attempts
o_pfile20_LeastRecent_cutoff,96,96,92,4781,15002,3,1,4,16
o_pfile20_MostRecent_cutoff,96,96,94,5214,15003,31,2,33,104
o_pfile20_Heuristic_cutoff,96,96,92,12415,15007,10,2,12,15
