label,first,most_expensive,cheapest,discovery_time,total_time,pruned_prior,num_prior_plans,total_prior_attempts,total_attempts
o_pfile8_LeastRecent_cutoff,51,51,47,1916,15001,9,2,11,146
o_pfile8_MostRecent_cutoff,51,51,49,297,15000,2,1,3,352
o_pfile8_Heuristic_cutoff,51,51,45,13807,15001,67,3,70,79
