label,first,most_expensive,cheapest,discovery_time,total_time,pruned_prior,num_prior_plans,total_prior_attempts,total_attempts
o_pfile12_LeastRecent_cutoff,89,89,87,4039,15000,3,1,4,19
o_pfile12_MostRecent_cutoff,89,89,87,1868,15000,8,1,9,121
o_pfile12_Heuristic_cutoff,89,89,87,1657,15000,0,1,1,19
