label,first,most_expensive,cheapest,discovery_time,total_time,pruned_prior,num_prior_plans,total_prior_attempts,total_attempts
o_pfile20_LeastRecent_cutoff,96,96,92,6389,15004,3,1,4,13
o_pfile20_MostRecent_cutoff,96,96,95,1909,15172,2,1,3,29
o_pfile20_Heuristic_cutoff,96,96,96,3636,15007,0,0,0,8
