label,first,most_expensive,cheapest,discovery_time,total_time,pruned_prior,num_prior_plans,total_prior_attempts,total_attempts
o_pfile6_LeastRecent_cutoff,36,36,32,263,15000,2,1,3,392
o_pfile6_MostRecent_cutoff,36,36,32,781,15000,22,2,24,566
o_pfile6_Heuristic_cutoff,36,36,32,213,15001,1,1,2,397
