label,first,most_expensive,cheapest,discovery_time,total_time,pruned_prior,num_prior_plans,total_prior_attempts,total_attempts
o_pfile15_LeastRecent_cutoff,92,92,90,4156,15000,2,1,3,13
o_pfile15_MostRecent_cutoff,92,92,90,2130,15000,2,1,3,65
o_pfile15_Heuristic_cutoff,92,92,90,11689,15008,10,1,11,15
