label,first,most_expensive,cheapest,discovery_time,total_time,pruned_prior,num_prior_plans,total_prior_attempts,total_attempts
o_pfile10_LeastRecent_cutoff,59,59,53,12526,15003,58,3,61,73
o_pfile10_MostRecent_cutoff,59,59,53,10337,15002,151,3,154,233
o_pfile10_Heuristic_cutoff,59,59,53,8244,15001,29,3,32,62
